# gunzip -c /home3/ztkyaw/w2021/deliverables/contrast-zin-dev/baseline/tdnnf-transfer-sp/decode_imda-part2_1629889191-hw_lmg/phone_stats.*.gz | steps/diagnostic/analyze_phone_length_stats.py /home3/ztkyaw/w2021/deliverables/contrast-zin-dev/output/expEX2/graph 
# Invoked at Wed Aug 25 19:09:31 +08 2021 from node02
#
# Started at Wed Aug 25 19:10:29 +08 2021 on node01
At utterance begin, SIL accounts for 99.7% of phone occurrences, with duration (median, mean, 95-percentile) is (17,17.8,23) frames.
Overall, n_WB_eng_E accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (4,4.9,9) frames.
Overall, p_WB_eng_B accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (3,2.7,4) frames.
Overall, g_WB_eng_E accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (3,3.1,7) frames.
Overall, w_eng_I accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (3,3.0,5) frames.
Overall, r_WB_eng_E accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (3,3.5,10) frames.
Overall, l_WB_eng_E accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (4,4.5,10) frames.
Overall, o_WB_eng_E accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (3,4.2,10) frames.
Overall, w_WB_eng_B accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (3,2.9,6) frames.
Overall, k_WB_eng_E accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (3,3.7,9) frames.
Overall, h_WB_eng_B accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (3,2.9,6) frames.
Overall, s_WB_eng_E accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (3,4.0,9) frames.
Overall, m_WB_eng_B accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (3,3.3,6) frames.
Overall, f_WB_eng_B accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (3,3.0,5) frames.
The optional-silence phone SIL occupies 27.5% of frames overall 
Limiting the stats to the 80.0% of frames not covered by an utterance-[begin/end] phone, optional-silence SIL occupies 9.4% of frames.
Assuming 100 frames per second, the alignments represent 0.5 hours of data, or 0.4 hours if SIL frames are excluded.
Utterance-internal optional-silences SIL comprise 5.2% of utterance-internal phones, with duration (median, mean, 95-percentile) = (1,5.1,20)
# Ended (code 0) at Wed Aug 25 19:10:29 +08 2021, elapsed time 58 seconds
